 	12.12.2011 	12:41:58 	 	 	0,00 sm 	      0,00 sm 	 	 	 	 	 	 	letzte Logbuch-Datei ist\nuntil_2011-12-12_12_41_58_logbook.txt 	 	 	 	 	 	 	 	 	 	 	1076:50 h 	01076:50 h 	100,00 Liter 	    100,00 Liter 	 	 	250,00 Liter 	    250,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:23:03 	 	 	0.00 sm 	   133,52 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:25:49 	 	 	0.00 sm 	   133,52 sm 	040° 59,7058' N\n006° 47,8593' E 	148,01° 	 	4,05 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:43:03 	 	 	0.00 sm 	   133,52 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:42:58 	 	 	0.00 sm 	   133,52 sm 	040° 58,6890' N\n006° 48,6139' E 	151,30° 	 	3,77 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:43:09 	 	 	0,01 sm 	   133,53 sm 	040° 58,6782' N\n006° 48,6223' E 	138,53° 	 	3,15 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:53:44 	 	 	0,72 sm 	   134,25 sm 	040° 58,0554' N\n006° 49,1027' E 	139,50° 	 	2,94 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	02:55:33 	 	 	0,12 sm 	   134,37 sm 	040° 57,9497' N\n006° 49,1811' E 	178,19° 	 	2,23 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:03:03 	 	 	0.00 sm 	   134,37 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:04:14 	 	 	0.00 sm 	   134,37 sm 	040° 57,4237' N\n006° 49,5846' E 	144,34° 	 	4,75 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:08:10 	 	 	0,27 sm 	   134,64 sm 	040° 57,1880' N\n006° 49,7657' E 	177,00° 	 	3,06 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:18:12 	 	 	0,70 sm 	   135,34 sm 	040° 56,5974' N\n006° 50,2568' E 	140,84° 	 	4,16 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:23:03 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:24:45 	 	 	0.00 sm 	   135,34 sm 	040° 56,2072' N\n006° 50,5878' E 	154,25° 	 	4,30 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:43:03 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	03:42:58 	 	 	0.00 sm 	   135,34 sm 	040° 55,1128' N\n006° 51,5239' E 	152,26° 	 	4,07 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	04:03:03 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	04:03:19 	 	 	0.00 sm 	   135,34 sm 	040° 53,8616' N\n006° 52,5917' E 	156,24° 	 	3,82 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	04:23:03 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	04:22:58 	 	 	0.00 sm 	   135,34 sm 	040° 52,6499' N\n006° 53,6047' E 	144,14° 	 	5,23 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	04:43:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	04:52:58 	 	 	0.00 sm 	   135,34 sm 	040° 50,7905' N\n006° 55,1360' E 	137,80° 	 	6,19 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	05:03:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	05:12:03 	 	 	0.00 sm 	   135,34 sm 	040° 49,5945' N\n006° 56,1117' E 	144,86° 	 	4,20 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	05:23:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	05:22:57 	 	 	0.00 sm 	   135,34 sm 	040° 48,9285' N\n006° 56,6694' E 	136,66° 	 	5,10 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	05:43:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	05:47:08 	 	 	0.00 sm 	   135,34 sm 	040° 47,4575' N\n006° 57,9582' E 	147,73° 	 	4,11 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	06:03:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	06:02:57 	 	 	0.00 sm 	   135,34 sm 	040° 46,5779' N\n006° 58,7363' E 	137,62° 	 	4,29 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	06:23:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	06:22:54 	 	 	0.00 sm 	   135,34 sm 	040° 45,4231' N\n006° 59,7937' E 	153,15° 	 	3,86 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	06:43:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	06:52:57 	 	 	0.00 sm 	   135,34 sm 	040° 43,6670' N\n007° 01,3916' E 	143,41° 	 	4,91 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:03:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:12:57 	 	 	0.00 sm 	   135,34 sm 	040° 42,5198' N\n007° 02,4653' E 	148,56° 	 	3,20 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:23:02 	 	 	0.00 sm 	   135,34 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:23:02 	 	 	0.00 sm 	   135,34 sm 	040° 41,9051' N\n007° 02,9621' E 	155,51° 	 	3,85 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:32:53 	 	 	0,71 sm 	   136,05 sm 	040° 41,2888' N\n007° 03,4234' E 	147,11° 	 	4,65 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:43:02 	 	 	0.00 sm 	   136,05 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:42:57 	 	 	0.00 sm 	   136,05 sm 	040° 40,6382' N\n007° 03,8992' E 	146,77° 	 	4,63 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	07:59:53 	 	 	1,29 sm 	   137,34 sm 	040° 39,5082' N\n007° 04,7050' E 	141,53° 	 	4,53 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	08:03:02 	 	 	0,23 sm 	   137,57 sm 	040° 39,3089' N\n007° 04,8504' E 	151,37° 	 	4,78 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	08:23:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	08:32:57 	 	 	0.00 sm 	   137,57 sm 	040° 37,3188' N\n007° 06,2586' E 	149,36° 	 	4,34 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	08:43:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	08:52:57 	 	 	0.00 sm 	   137,57 sm 	040° 35,9368' N\n007° 07,1482' E 	156,34° 	 	4,04 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:03:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:12:56 	 	 	0.00 sm 	   137,57 sm 	040° 34,6172' N\n007° 07,9808' E 	153,13° 	 	4,67 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:23:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:32:57 	 	 	0.00 sm 	   137,57 sm 	040° 33,2568' N\n007° 08,8762' E 	157,02° 	 	4,09 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:43:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:45:00 	 	 	0.00 sm 	   137,57 sm 	040° 32,4182' N\n007° 09,4441' E 	151,30° 	 	4,52 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	09:45:02 	 	 	0,00 sm 	   137,57 sm 	040° 32,4146' N\n007° 09,4468' E 	143,66° 	 	5,33 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	10:03:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	10:02:56 	 	 	0.00 sm 	   137,57 sm 	040° 31,2043' N\n007° 10,2422' E 	152,39° 	 	5,78 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	10:23:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	10:23:25 	 	 	0.00 sm 	   137,57 sm 	040° 29,8102' N\n007° 11,0934' E 	154,08° 	 	4,09 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	10:43:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	10:42:56 	 	 	0.00 sm 	   137,57 sm 	040° 28,4656' N\n007° 11,9063' E 	161,33° 	 	5,45 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:03:01 	 	 	0.00 sm 	   137,57 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:12:56 	 	 	0.00 sm 	   137,57 sm 	040° 26,4148' N\n007° 13,1138' E 	156,24° 	 	4,41 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:16:59 	 	 	0,30 sm 	   137,87 sm 	040° 26,1402' N\n007° 13,2716' E 	153,86° 	 	4,65 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:23:01 	 	 	0.00 sm 	   137,87 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:32:56 	 	 	0.00 sm 	   137,87 sm 	040° 25,0566' N\n007° 13,8735' E 	159,31° 	 	4,59 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:43:01 	 	 	0.00 sm 	   137,87 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:52:56 	 	 	0.00 sm 	   137,87 sm 	040° 23,6943' N\n007° 14,6205' E 	150,20° 	 	4,65 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:56:10 	 	 	0,24 sm 	   138,11 sm 	040° 23,4768' N\n007° 14,7387' E 	155,82° 	 	4,25 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	11:58:37 	 	 	0,18 sm 	   138,29 sm 	040° 23,3103' N\n007° 14,8293' E 	148,14° 	 	4,60 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:03:01 	 	 	0.00 sm 	   138,29 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:03:11 	 	 	0.00 sm 	   138,29 sm 	040° 23,0103' N\n007° 15,0066' E 	160,33° 	 	5,54 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:23:01 	 	 	0.00 sm 	   138,29 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:22:56 	 	 	0.00 sm 	   138,29 sm 	040° 21,7312' N\n007° 15,8116' E 	159,21° 	 	4,38 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:23:01 	 	 	0,01 sm 	   138,30 sm 	040° 21,7265' N\n007° 15,8151' E 	148,33° 	 	4,93 ktn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:43:01 	 	 	0.00 sm 	   138,30 sm 	 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	12:49:25 	 	 	0.00 sm 	   138,30 sm 	040° 20,0781' N\n007° 17,0023' E 	140,33° 	 	4,69 ktn 	 	 	 	765 mb 	  0° R 	7,00 ktn 	  0° 	0,00 ktn 	1,00 m 	1,00 m 	sonnig 	keine 	sehr gut 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	13:32:09 	 	 	3,04 sm 	   141,34 sm 	040° 17,4543' N\n007° 18,9987' E 	156,67° 	 	4,09 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	14:02:09 	 	 	2,17 sm 	   143,51 sm 	040° 15,5696' N\n007° 20,3873' E 	149,93° 	 	4,67 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	14:17:50 	 	 	1,16 sm 	   144,67 sm 	040° 14,5576' N\n007° 21,1255' E 	144,45° 	 	3,88 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	12.03.2012 	14:32:07 	 	 	1,11 sm 	   145,78 sm 	040° 13,5947' N\n007° 21,8411' E 	150,61° 	 	5,32 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
